"screen_name","text","stripped_text1"
"PansiesAndTea","For every anti masker or vaccine there are so many families who canâ€™t see each other over Christmas or anniversaries or birthdays or weddings or even funerals. How is this not considered the real war on Christmas?","for every anti masker or vaccine there are so many families who canâ€™t see each other over christmas or anniversaries or birthdays or weddings or even funerals how is this not considered the real war on christmas"
"Oliviapetter1","To all the anti-vaxxers trolling me right now on here and on Instagram because of my piece on dealing with unvaccinated family members at Christmas... please leave me alone. And maybe read this. https://t.co/isiE5Xj0QY","to all the antivaxxers trolling me right now on here and on instagram because of my piece on dealing with unvaccinated family members at christmas please leave me alone and maybe read this "
"MissDemeanor07","@TommyPreziozi @GBNEWS I thought the same. 
There is no evidence that this is 'anti-vaxxers'. When you book an appt you don't have to share your view of the vaccine, so how would they know? Maybe the people who didn't turn up had a legitimate reason.","  i thought the same there is no evidence that this is antivaxxers when you book an appt you dont have to share your view of the vaccine so how would they know maybe the people who didnt turn up had a legitimate reason"
"tazouk101","@SaltaoVladimir @GidMK @PierreKory @Covid19Critical @RWMaloneMD Desperation shining through.
What's wrong with them making a vaccine?
You anti Vax?

They ain't ....","     desperation shining throughwhat wrong with them making a vaccineyou anti vaxthey aint "
"Dmdufy","@davidemccune I guess heâ€™s an ahole too. Prior infection and longterm immunity donâ€™t exist? Come on.. I donâ€™t understand why you canâ€™t be pro vaccine and anti mandates. https://t.co/4xxrCkeQLU"," i guess heâ€™s an ahole too prior infection and longterm immunity donâ€™t exist come on i donâ€™t understand why you canâ€™t be pro vaccine and anti mandates "
"jmwhite2","Australiaâ€™s anti-vaccine movement, dissected #auspol  https://t.co/osqCc7VAl5","australiaâ€™s antivaccine movement dissected auspol  "
"joe_j_ava","You know a lot of people wonder how on Earth anti-vaxxers could think they have natural immunity to a respiratory disease based on a healthy lifestyle or that the vaccine might be harmful in some way in spite of millions getting it without issue. And then I see thisâ€¦ https://t.co/OViz4oRKqM","you know a lot of people wonder how on earth antivaxxers could think they have natural immunity to a respiratory disease based on a healthy lifestyle or that the vaccine might be harmful in some way in spite of millions getting it without issue and then i see thisâ€ "
"unicornkx","""Anti-vaxxers are block-booking vaccine appts to stop people getting booster""

What happened to individual choice and freedom that these people so passionately claim to defend? https://t.co/KyNLzVnfmE","antivaxxers are blockbooking vaccine appts to stop people getting boosterwhat happened to individual choice and freedom that these people so passionately claim to defend "
"IlluminateesUK","#LondonProtests - 18/12/21

The MSM only bothered turning up to pretend that it was a poor turnout (GB News) <U+0001F3A5>, or to snap a minor skirmish outside Downing Street, in an attempt to portray â€œanti-vaccine protestersâ€ (pro-freedom) as some sort of violent mob (Sunday Telegraph) <U+0001F4F0> https://t.co/S3bLHVkAjW","londonprotests  the msm only bothered turning up to pretend that it was a poor turnout gb news ufa or to snap a minor skirmish outside downing street in an attempt to portray â€œantivaccine protestersâ€ profreedom as some sort of violent mob sunday telegraph uff "
"DoubledayBeth","@BadVaccineTakes So vaccine refusers and anti-maskers have now devolved to the point that theyâ€™re advocates of having filthy hands."," so vaccine refusers and antimaskers have now devolved to the point that theyâ€™re advocates of having filthy hands"
"BePastafarian","@valleycityfrog1 @BuckSexton I heard that one. Itâ€™s a claim made by Talibanical Republican anti-vaxxers and promoted on @oann and @newsmax by Emerald Robinson. The vaccine contains Luciferase, a protein that is part of of the body of Satan used to track and control you.  Totally insane stuff. <U+0001F92A><U+0001F92A><U+0001F92A><U+0001F92A>","  i heard that one itâ€™s a claim made by talibanical republican antivaxxers and promoted on  and  by emerald robinson the vaccine contains luciferase a protein that is part of of the body of satan used to track and control you  totally insane stuff ufaufaufaufa"
"NesWrites","@SweetPeachez69_ @EmbarassedLion @OzarkGraphic Although I am with you that this ""tough love"" rhetoric is kinda bullshit. Like... I hope you don't have kids, with that attitide.

Anti-vaccine beliefs are fear-based. If you're the thing someone's scared of, you can't scare them into doing what you want.","   although i am with you that this tough love rhetoric is kinda bullshit like i hope you dont have kids with that attitideantivaccine beliefs are fearbased if youre the thing someone scared of you cant scare them into doing what you want"
"runnytom","@Dieter75 @MrTerryWoolley @GBNEWS Let's hope so. If it is true then the anti vaccine nutters should be imprisoned.","   let hope so if it is true then the anti vaccine nutters should be imprisoned"
"runnytom","@AntiUKGov1 @MrTerryWoolley @GBNEWS Even assuming omicron is very mild, it's not the only variant out there and 5.35 million people have died to covid.

You can pretend this isn't true all you like, but it won't change reality. If anti vaccine nuts are trying to stop people being vaccinated they should be jailed.","   even assuming omicron is very mild it not the only variant out there and  million people have died to covidyou can pretend this isnt true all you like but it wont change reality if anti vaccine nuts are trying to stop people being vaccinated they should be jailed"
"keuro","@bone00afide The â€œdataâ€ on the long term side effects from the vaccine are, from my anti-vaxx neighbor, all anecdotal and speculative. Sheâ€™s got a whole list of friendâ€™s cousinâ€™s neighbors who are suffering. Any medical issue? â€œIâ€™ll bet itâ€™s from that vaccine!â€"," the â€œdataâ€ on the long term side effects from the vaccine are from my antivaxx neighbor all anecdotal and speculative sheâ€™s got a whole list of friendâ€™s cousinâ€™s neighbors who are suffering any medical issue â€œiâ€™ll bet itâ€™s from that vaccineâ€"
"WindsrHeightsDQ","My mom is avidly anti-vaccine but she let me get it because she lets my make decisions for my body lmao","my mom is avidly antivaccine but she let me get it because she lets my make decisions for my body lmao"
"ChildPleez007","@skyisoverit @chris_notcapn The govt knows it's a global pandemic since 2019. Where were u living under a rock? Y do u think there r mandates 4 a vaccine yet anti-vaxxers r refusing to get them bc they're being told COVID isn't real? There've been numerous campaigns to get ppl vaccinated. Have several seats","  the govt knows it a global pandemic since  where were u living under a rock y do u think there r mandates  a vaccine yet antivaxxers r refusing to get them bc theyre being told covid isnt real thereve been numerous campaigns to get ppl vaccinated have several seats"
"SaveFerris92","@Antihippy @The_Real_Big_Al Keep hearing people are not anti vaccine but anti mandate. The idea that being forced to do something is against their rights etc <U+0001F974> idk why they canâ€™t just get jabbed and save themselves a ton of risk.","  keep hearing people are not anti vaccine but anti mandate the idea that being forced to do something is against their rights etc uf idk why they canâ€™t just get jabbed and save themselves a ton of risk"
"DevNaFC","Am not anti vaccine person but I am against false claims simple 
Don't cheat ppl","am not anti vaccine person but i am against false claims simple dont cheat ppl"
"iWalkOutdoors","@MatthewNewell67 @DeanyWinchy Are you really saying that it is beyond the realms of possibility that ppl get called conspiracy theorists &amp; anti-vaxers for not wanting a covid vaccine? And some kids in my sonâ€™s school call ppl not wearing a mask â€˜flat earthersâ€™? Have your opinions, but trashing others is rude","  are you really saying that it is beyond the realms of possibility that ppl get called conspiracy theorists  antivaxers for not wanting a covid vaccine and some kids in my sonâ€™s school call ppl not wearing a mask â€˜flat earthersâ€™ have your opinions but trashing others is rude"
"Goldzone3","@Liv__Es Iâ€™m still wondering when people will realise that the MRNA jab is not a vaccine, It seems that the jabbed have created the term â€˜Anti Vaxerâ€™ through their lack of knowledge of MRNA science"," iâ€™m still wondering when people will realise that the mrna jab is not a vaccine it seems that the jabbed have created the term â€˜anti vaxerâ€™ through their lack of knowledge of mrna science"
"somuchbullsh","Experts unpick symbols and slogans at anti-COVID vaccination mandate protest in Perth https://t.co/r7pGs05SJb via @ABCaustralia","experts unpick symbols and slogans at anticovid vaccination mandate protest in perth  "
"thisismarebear","@hutchleah omg sorry i never saw this. idk what specific type of disability, iâ€™ve just sporadically heard that a lot disabled people are unable to get the vaccine. also iâ€™m gonna delete the other tweet bc weirdo, anti-vaxx conservatives have started trying to follow me for it <U+0001F62D>"," omg sorry i never saw this idk what specific type of disability iâ€™ve just sporadically heard that a lot disabled people are unable to get the vaccine also iâ€™m gonna delete the other tweet bc weirdo antivaxx conservatives have started trying to follow me for it ufd"
"DavidBoink","@ordinarybloke1 @JeremyVineOn5 If anybody has follwed this thread this far i'd be surprised, you're about as dull as dishwater

No humour and nothing of interest coming from your end apart from the same old anti-vaccine mantra and you already know i've had 2 so i dunno your bothering

You're obsessed with me","  if anybody has follwed this thread this far id be surprised youre about as dull as dishwaterno humour and nothing of interest coming from your end apart from the same old antivaccine mantra and you already know ive had  so i dunno your botheringyoure obsessed with me"
"TomthunkitsMind","DONâ€™T PITY THE FOOL
Anti-vaccine Christian broadcaster Marcus Lamb dies at age 64 after contracting Covid-19. 
https://t.co/7Ur0zsZ1NZ 02","donâ€™t pity the foolantivaccine christian broadcaster marcus lamb dies at age  after contracting covid  "
